Th,Ph,E,NrHits,NrBumps,E1,E1E9,E9E25,Z20,Z53,LatMom
46.1833,114.053,0.361963,13,1,0.196675,0.708771,0.86614,0.267822,0.340218,0.997201
133.509,-96.1836,1.07067,16,1,0.405199,0.407741,0.986302,0.910681,0.0175963,0.939104
28.6476,-36.3572,1.42078,15,1,0.651359,0.483829,0.973336,0.956839,0.00959691,0.892549
160.168,-51.0643,0.405501,17,1,0.239149,0.869566,0.927596,0.643804,0.0150013,0.993023
32.4573,31.0883,0.049482,3,1,0.0238296,0.481581,1,0.985752,0.00165871,0.0788721
51.951,-59.3792,0.91067,23,1,0.557457,0.851063,0.880278,0.237827,0.332778,0.995123
59.0637,109.117,0.815733,16,1,0.318901,0.471827,0.890759,0.921745,0.00446149,0.680293
92.4508,-117.818,0.92722,30,2,0.29888,0.496657,0.796927,0.671383,0.013421,0.993612
42.5976,-106.077,0.378632,4,1,0.235393,0.642794,1,0.951769,0.00289253,0.804718
14.5918,165.645,0.939692,5,1,0.539179,0.636898,0.910359,0.973241,0.00407577,0.23243
128.566,-126.513,0.518574,4,1,0.360684,0.704185,1,0.983096,0.00224513,0.182318
83.1687,52.8619,0.612351,18,1,0.288083,0.601599,0.922831,0.83637,0.0193593,0.840267
25.9897,-42.0582,0.479513,11,1,0.178819,0.48842,0.825099,0.73542,0.0658736,0.992819
121.924,111.775,1.42131,28,2,0.430679,0.485494,0.86544,0.590584,0.0744021,0.960829
60.6061,-131.767,1.11237,27,3,0.400669,0.567118,0.813301,0.836098,0.00652859,0.887194
34.3265,-173.289,0.287708,14,1,0.0939497,0.808048,0.618104,0.0419969,0.270834,0.996644
31.1688,-52.7225,1.22771,20,2,0.611418,0.619478,0.952495,0.829843,0.0381446,0.961168
68.4847,75.0043,0.365885,7,1,0.186173,0.825184,0.718648,0.929467,0.0126148,0.463483
94.913,15.0555,0.509312,7,1,0.342011,0.791868,0.868494,0.961145,0.00896274,0.393214
83.7237,56.8114,1.09991,15,1,0.369756,0.402145,0.852398,0.942183,0.00559377,0.69211
51.9326,162.759,1.73384,20,1,0.500338,0.337135,0.864267,0.942165,0.00332634,0.656652
67.7277,-82.3925,0.508386,8,1,0.284854,0.780478,0.736298,0.940857,0.0181168,0.297687
17.6417,-0.407472,0.181312,10,1,0.0957676,1,1,0,0,0.997939
60.7029,-150.32,0.499929,8,1,0.258911,0.559656,0.984557,0.936201,0.0119311,0.557276
47.3506,117.626,0.327517,4,1,0.269812,0.82381,1,0.992922,0.000411323,0.0624097
107.667,6.13406,0.0541432,5,1,0.0258697,0.783088,1,0.437383,0.0713419,0.82186
132.823,162.218,0.598405,25,1,0.259296,0.743205,0.698939,0.766492,0.017119,0.880408
4.8806,-162.093,0.544924,6,1,0.323234,0.755343,0.830923,0.860484,0.0361899,0.697486
36.8837,-52.9191,0.628102,8,1,0.251101,0.536405,0.772631,0.921514,0.0276864,0.968911
100.145,97.6688,1.38513,30,1,0.241285,0.544367,0.634225,0.805286,0.0231895,0.918782
49.4372,3.37075,0.26138,5,1,0.122746,0.469606,1,0.968016,0.00584015,0.251633
98.7036,48.3781,0.241335,6,1,0.17572,0.764786,0.952053,0.976959,0.005999,0.284178
150.569,25.726,0.318814,14,1,0.153452,0.735016,0.925589,0.242429,0.283949,0.991959
152.975,15.6316,0.449713,12,2,0.132705,0.573326,0.590178,0.880758,0.0179826,0.736966
2.18286,156.946,2.60532,17,1,0.766813,0.501371,0.724792,0.598813,0.0242642,0.922564
163.254,-166.218,0.130613,4,1,0.0557815,0.500935,1,0.754403,0.0227259,0.898585
30.4554,48.7371,0.87106,4,1,0.739841,0.864225,1,0.974236,0.000863345,0.748368
37.6807,168.845,0.464093,3,1,0.373527,0.818424,1,0.955828,0.00674851,0.960539
67.7637,145.573,0.621743,11,1,0.390087,0.707526,1,0.482649,0.243837,0.987235
126.987,118.49,0.480987,11,1,0.332188,0.779877,0.970973,0.906202,0.0205035,0.911314
159.928,166.277,0.21277,3,1,0.171028,0.803815,1,0.990937,0.00100414,0.0360853
60.1608,-92.7293,1.14766,21,1,0.36934,0.451351,0.792922,0.844774,0.00757336,0.940758
