Th,Ph,E,NrHits,NrBumps,E1,E1E9,E9E25,Z20,Z53,LatMom
49.4646,16.5298,3.20845,23,1,1.37266,0.446131,0.96988,0.972296,0.000617624,0.288777
97.165,81.5869,3.30257,18,1,2.53503,0.787266,0.982393,0.981023,0.00134655,0.244618
18.4714,106.161,3.86312,24,1,2.42052,0.657186,0.963784,0.970451,0.00295149,0.305044
32.7319,-90.1904,2.62448,19,1,1.62491,0.635855,0.985346,0.975563,0.00138632,0.909536
120.783,-17.8672,3.90486,22,1,1.85149,0.494364,0.971877,0.97121,0.00264062,0.297665
47.5617,-76.2127,3.84004,25,1,2.8899,0.787563,0.961194,0.977424,0.00049921,0.307875
73.9926,-27.8571,3.89731,21,1,2.78044,0.748332,0.961373,0.974014,0.00242014,0.313206
35.2141,-26.2599,3.50924,24,1,2.67669,0.795079,0.971283,0.975356,0.00169914,0.898197
39.2708,111.18,2.17531,17,1,1.42329,0.678412,0.983356,0.974744,0.00231142,0.847333
72.1058,-167.994,3.02482,20,1,2.4024,0.828671,0.962061,0.976321,0.00121988,0.318471
35.9073,166.833,4.90977,28,1,3.96663,0.850434,0.960351,0.977448,0.000830635,0.338329
49.1653,103.934,2.38077,14,1,1.67532,0.716114,0.984568,0.983584,0.00153493,0.203169
93.7083,157.093,3.98144,25,1,1.98614,0.534505,0.947299,0.960698,0.00628675,0.431244
38.7252,-44.739,2.01149,17,1,1.50117,0.774583,0.966291,0.983054,0.00118961,0.226866
139.206,-41.7087,3.82039,19,1,2.85679,0.768624,0.98036,0.980661,0.00080744,0.251685
72.443,-48.8686,2.40043,19,1,1.97632,0.868636,0.954225,0.978812,0.00160608,0.297846
56.5605,-45.7742,1.92486,21,1,1.29193,0.713895,0.957756,0.966343,0.00793209,0.405316
33.4784,-96.8853,2.39675,16,1,1.30781,0.581419,0.950716,0.973371,0.00205799,0.288546
88.4264,136.563,2.31488,17,1,1.46316,0.659125,0.969298,0.967778,0.000651347,0.354281
36.8025,127.024,1.05199,10,1,0.761968,0.741529,0.982083,0.985193,0.00122007,0.153895
122.43,73.1327,1.83154,16,1,0.902225,0.508939,0.97537,0.973149,0.00299436,0.275222
114.651,-126.283,2.87737,18,1,1.82337,0.657289,0.977458,0.970374,0.00244596,0.354268
60.7198,-15.7261,1.38758,21,1,1.08005,0.837369,0.964095,0.950672,0.00335661,0.955588
34.4723,97.7844,2.16588,22,1,1.65326,0.81416,0.960012,0.970462,0.000652875,0.369863
133.802,0.204864,1.20051,15,1,0.936641,0.815287,0.970017,0.978995,0.0025895,0.26691
42.8408,152.661,4.10236,27,1,2.24536,0.576967,0.955708,0.969811,0.000230789,0.869623
119.321,14.3821,2.91963,23,1,2.27421,0.821753,0.962078,0.971938,0.00300428,0.739656
116.227,-147.98,4.24282,25,1,3.56002,0.875489,0.968751,0.979717,0.00121826,0.278681
89.8479,-76.9021,3.56295,29,2,1.74575,0.522693,0.966174,0.963015,0.00106473,0.370643
119.641,-48.1659,2.88498,17,1,2.29062,0.814471,0.982804,0.982644,0.000225114,0.229066
96.3134,-110.333,2.10294,22,1,1.55214,0.77264,0.972257,0.966442,0.00352112,0.415248
153.112,-110.283,1.66115,12,1,1.12554,0.699482,0.968672,0.982099,0.000225708,0.211215
12.0906,-61.3914,3.14771,20,1,2.51104,0.823664,0.977036,0.979562,0.00101668,0.257265
159.093,-30.4498,1.89767,14,1,0.848251,0.47719,0.948869,0.969166,0.00266279,0.333024
25.8257,-146.927,1.56037,13,1,1.10901,0.734234,0.977869,0.975018,0.00242263,0.894323
153.391,1.89253,4.40544,18,1,2.12876,0.494696,0.98233,0.973375,0.0010924,0.287437
150.846,-15.5682,0.922908,6,1,0.787458,0.89291,0.961003,0.981827,0.0037777,0.807188
157.612,151.404,1.03913,11,1,0.446453,0.457278,0.939564,0.969674,0.00303337,0.301281
149.045,33.5268,0.906537,7,1,0.842362,0.96548,1,0.945986,0.00328269,0.823953
150.029,30.9546,2.84678,18,1,2.00705,0.723973,0.992319,0.966964,0.0014489,0.865755
55.4631,83.2847,1.51981,13,1,1.18377,0.809213,0.96253,0.982866,0.00290969,0.209014
77.0397,-3.42084,1.57771,14,1,1.2599,0.817395,0.985829,0.982984,0.00270294,0.228841
59.4784,-118.577,4.36196,28,1,3.13192,0.75055,0.963706,0.97617,0.000682136,0.277629
2.82205,-104.13,2.38862,19,1,1.52163,0.687498,0.964622,0.858602,0.00508815,0.804299
37.9833,153.195,3.25493,28,1,2.01981,0.6611,0.964402,0.949858,0.00126908,0.970085
9.37526,-27.4285,4.10211,16,1,2.57865,0.640035,0.986619,0.975842,0.00057906,0.277631
